Zip Code,Location,City,Population,People / Sq. Mile,National Rank
64833,"37.205688, -94.135551","Avilla, Missouri",109,71.68,"#15,893"
65265,"39.203373, -91.885371","Mexico, Missouri","15,637",71.25,"#15,928"
64485,"39.949977, -94.818163","Savannah, Missouri","7,637",70.65,"#15,987"
65757,"37.282848, -93.098940","Strafford, Missouri","5,862",70.56,"#15,993"
65706,"37.322820, -92.898635","Marshfield, Missouri","12,907",70.06,"#16,049"
63383,"38.811485, -91.201380","Warrenton, Missouri","12,188",68.68,"#16,182"
64432,"40.263524, -94.667831","Clyde, Missouri",123,68.49,"#16,194"
64865,"36.826247, -94.568269","Seneca, Missouri","5,614",68.37,"#16,208"
63347,"39.069871, -90.766733","Foley, Missouri","2,623",67.68,"#16,264"
63637,"37.712286, -90.518346","Doe Run, Missouri",807,67.15,"#16,304"
63740,"37.175369, -89.680721","Chaffee, Missouri","5,466",66.21,"#16,399"
65681,"36.545152, -93.468684","Lampe, Missouri","2,261",64.58,"#16,533"
65611,"36.530428, -93.350407","Blue Eye, Missouri","1,956",64.12,"#16,573"
64070,"38.886795, -94.149407","Lone Jack, Missouri","2,410",63.9,"#16,597"
65536,"37.681382, -92.644564","Lebanon, Missouri","26,450",63.47,"#16,639"
64843,"36.736527, -94.444699","Goodman, Missouri","3,136",63.47,"#16,641"
64844,"36.916226, -94.238563","Granby, Missouri","4,523",63.16,"#16,678"
64062,"39.455731, -94.163205","Lawson, Missouri","5,788",62.93,"#16,712"
65712,"37.112228, -93.806614","Mount Vernon, Missouri","7,114",62.9,"#16,714"
64433,"40.230712, -94.678187","Conception, Missouri",190,62.61,"#16,739"
65052,"38.060770, -92.648240","Linn Creek, Missouri","3,146",62.57,"#16,747"
65605,"36.869577, -93.684556","Aurora, Missouri","11,630",61.95,"#16,809"
64120,"39.135007, -94.514957","Kansas City, Missouri",481,61.57,"#16,851"
65340,"39.087742, -93.173645","Marshall, Missouri","15,580",61.55,"#16,852"
65631,"37.000699, -93.423999","Clever, Missouri","2,521",61.54,"#16,856"
63860,"36.679911, -89.572877","Kewanee, Missouri",153,60.16,"#16,992"
63630,"38.024709, -90.740962","Cadet, Missouri","4,224",59.72,"#17,028"
65724,"37.818903, -93.309955","Pittsburg, Missouri","1,369",59.14,"#17,076"
64854,"36.545988, -94.455884","Noel, Missouri","4,052",58.9,"#17,105"
64166,"39.321599, -94.518270","Kansas City, Missouri",248,58.52,"#17,152"
63624,"37.739670, -90.659324","Bismarck, Missouri","3,583",57.8,"#17,218"
63055,"38.537634, -90.838774","Labadie, Missouri","1,767",57.49,"#17,253"
65037,"38.240656, -92.868535","Gravois Mills, Missouri","4,666",57.49,"#17,254"
65648,"37.408853, -93.167091","Fair Grove, Missouri","4,469",57.44,"#17,266"
63552,"39.757309, -92.443638","Macon, Missouri","7,868",57.27,"#17,282"
63080,"38.215015, -91.109483","Sullivan, Missouri","12,664",56.2,"#17,400"
65453,"38.106493, -91.439811","Cuba, Missouri","7,962",56,"#17,425"
63837,"36.450290, -89.986451","Clarkton, Missouri","1,710",55.59,"#17,480"
65255,"39.102561, -92.218393","Hallsville, Missouri","2,926",55.48,"#17,493"
63341,"38.670825, -90.815888","Defiance, Missouri","3,154",55.31,"#17,510"
64085,"39.343321, -93.955431","Richmond, Missouri","8,840",55.31,"#17,511"
64037,"39.059058, -93.741833","Higginsville, Missouri","6,098",54.96,"#17,560"
65652,"37.133949, -92.948822","Fordland, Missouri","3,690",54.62,"#17,605"
